測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
13101010,2020/12/23,02,0.001,0.005,0.039,0.044,,0.002,,,,0.021,24,,NNE,0.6,5.6,55.3
13101010,2020/12/23,03,0,0.003,0.033,0.036,,0.004,,,,0.015,18,,WNW,0.7,5.2,53.3
13101010,2020/12/23,04,0,0.001,0.022,0.023,,0.012,,,,0.006,9,,CALM,0.1,5.7,51.0
13101010,2020/12/23,05,0,0.001,0.021,0.022,,0.012,,,,0.009,11,,N,0.6,5.1,52.2
13101010,2020/12/23,06,0,0.001,0.024,0.025,,0.009,,,,0.006,12,,NNW,0.3,4.9,53.8
13101010,2020/12/23,07,0,0.004,0.030,0.034,,0.005,,,,0.006,12,,CALM,0.2,5.3,52.7
13101010,2020/12/23,08,0,0.020,0.035,0.055,,0.003,,,,0.008,13,,WNW,0.5,5.4,51.7
13101010,2020/12/23,09,0.001,0.035,0.036,0.071,,0.006,,,,0.015,15,,WNW,0.8,6.9,48.9
13101010,2020/12/23,10,0.001,0.037,0.038,0.075,,0.008,,,,0.015,17,,NNW,0.6,8.4,46.4
13101010,2020/12/23,11,0.001,0.028,0.039,0.067,,0.012,,,,0.016,15,,NNW,0.7,10.1,43.1
13101010,2020/12/23,12,0,0.017,0.033,0.050,,0.019,,,,0.014,13,,W,0.7,11.1,40.4
13101010,2020/12/23,13,0,0.009,0.025,0.034,,0.026,,,,0.013,9,,WNW,0.4,11.9,37.9
13101010,2020/12/23,14,0,0.006,0.023,0.029,,0.028,,,,0.011,9,,ENE,0.3,13.0,35.0
13101010,2020/12/23,15,0,0.005,0.028,0.033,,0.024,,,,0.013,11,,W,0.3,12.8,42.4
13101010,2020/12/23,16,0.001,0.028,0.054,0.082,,0.003,,,,0.015,18,,CALM,0.1,12.2,43.8
13101010,2020/12/23,17,0.001,0.017,0.056,0.073,,0.002,,,,0.018,15,,ESE,0.8,11.7,43.1
13101010,2020/12/23,18,0.002,0.020,0.060,0.080,,0.001,,,,0.021,20,,E,0.4,11.6,46.1
13101010,2020/12/23,19,0.001,0.036,0.062,0.098,,0.001,,,,0.025,25,,CALM,0,11.1,47.2
13101010,2020/12/23,20,0.001,0.035,0.062,0.097,,0.001,,,,0.027,29,,CALM,0.2,11.4,50.9
13101010,2020/12/23,21,0.002,0.035,0.061,0.096,,0.001,,,,0.033,29,,CALM,0.1,11.5,53.2
13101010,2020/12/23,22,0.002,0.007,0.051,0.058,,0.003,,,,0.018,22,,CALM,0.2,11.6,57.5
13101010,2020/12/23,23,0.002,0.002,0.042,0.044,,0.009,,,,0.016,13,,CALM,0.1,11.7,56.4
13101010,2020/12/23,24,0.002,0.010,0.047,0.057,,0.005,,,,0.017,16,,CALM,0.1,10.8,60.0
13101010,2020/12/24,01,0.002,0.031,0.059,0.090,,0.001,,,,0.025,21,,NW,0.5,9.5,54.6
13101010,2020/12/24,02,0.001,0.015,0.049,0.064,,0,,,,0.012,16,,CALM,0.2,8.4,54.6
13101010,2020/12/24,03,0.001,0.016,0.045,0.061,,0,,,,0.012,19,,WNW,0.6,7.9,55.6
13101010,2020/12/24,04,0.001,0.023,0.042,0.065,,0,,,,0.013,17,,WSW,0.5,7.3,56.3
13101010,2020/12/24,05,0.001,0.018,0.041,0.059,,0,,,,0.020,18,,CALM,0.2,6.9,56.6
13101010,2020/12/24,06,0.001,0.007,0.039,0.046,,0.001,,,,0.019,16,,WNW,0.4,6.8,55.7
13101010,2020/12/24,07,0.001,0.008,0.038,0.046,,0.001,,,,0.013,15,,CALM,0.2,6.6,54.6
13101010,2020/12/24,08,0.001,0.017,0.038,0.055,,0.003,,,,0.010,13,,WNW,0.7,7.2,53.5
13101010,2020/12/24,09,0.001,0.030,0.039,0.069,,0.004,,,,0.022,17,,N,0.3,8.0,54.1
13101010,2020/12/24,10,0.001,0.041,0.041,0.082,,0.005,,,,0.029,21,,NNE,0.5,8.4,52.4
13101010,2020/12/24,11,0.001,0.043,0.044,0.087,,0.006,,,,0.018,20,,NNE,0.4,9.4,49.5
13101010,2020/12/24,12,0.001,0.033,0.043,0.076,,0.005,,,,0.019,23,,CALM,0.1,9.6,50.5
13101010,2020/12/24,13,0,0.021,0.044,0.065,,0.008,,,,0.016,19,,CALM,0.2,10.5,46.0
13101010,2020/12/24,14,0.001,0.045,0.054,0.099,,0.003,,,,0.030,31,,E,0.3,10.5,47.0
13101010,2020/12/24,15,0.001,0.056,0.057,0.113,,0.001,,,,0.037,30,,CALM,0.1,10.8,47.9
13101010,2020/12/24,16,0.002,0.065,0.060,0.125,,0.001,,,,0.036,33,,CALM,0.1,11.2,47.5
13101010,2020/12/24,17,0.002,0.088,0.062,0.150,,0,,,,0.037,34,,NNW,0.6,12.2,44.8
13101010,2020/12/24,18,0.001,0.057,0.056,0.113,,0.002,,,,0.023,21,,CALM,0.2,13.7,36.0
13101010,2020/12/24,19,0.001,0.002,0.028,0.030,,0.019,,,,0.017,13,,W,0.3,13.3,35.2
13101010,2020/12/24,20,0.001,0.026,0.039,0.065,,0.012,,,,0.017,20,,NNW,0.7,11.3,44.3
13101010,2020/12/24,21,0.002,0.078,0.061,0.139,,0.001,,,,0.036,39,,CALM,0.2,11.2,46.0
13101010,2020/12/24,22,0.002,0.074,0.060,0.134,,0,,,,0.044,46,,CALM,0.2,12.2,47.4
13101010,2020/12/24,23,0.001,0.031,0.052,0.083,,0.002,,,,0.016,24,,NW,0.8,10.3,50.0
13101010,2020/12/24,24,0.001,0.070,0.057,0.127,,0,,,,0.047,39,,W,0.5,9.9,52.1
13101010,2020/12/25,01,,,,,,0,,,,0.046,43,,CALM,0.2,9.6,49.6
13101010,2020/12/25,02,0.003,0.028,0.048,0.076,,0,,,,0.050,44,,CALM,0.2,8.9,54.4
13101010,2020/12/25,03,0.002,0.015,0.045,0.060,,0.001,,,,0.044,39,,CALM,0.2,9.2,52.7
13101010,2020/12/25,04,0.001,0.006,0.040,0.046,,0.003,,,,0.028,32,,N,1.0,8.2,52.2
13101010,2020/12/25,05,0.001,0.013,0.042,0.055,,0.001,,,,0.042,34,,W,0.3,8.3,53.9
13101010,2020/12/25,06,0.001,0.011,0.040,0.051,,0.001,,,,0.027,25,,WNW,0.5,8.9,50.7
13101010,2020/12/25,07,0.001,0.007,0.038,0.045,,0.003,,,,0.017,15,,WNW,0.9,8.3,52.6
13101010,2020/12/25,08,0.001,0.011,0.035,0.046,,0.006,,,,0.006,10,,NW,0.8,7.9,54.9
13101010,2020/12/25,09,0.001,0.013,0.030,0.043,,0.014,,,,0.014,12,,NNE,1.0,9.5,51.1
13101010,2020/12/25,10,0.001,0.007,0.025,0.032,,0.021,,,,0.003,6,,N,0.9,10.3,47.9
13101010,2020/12/25,11,0.001,0.007,0.025,0.032,,0.022,,,,0.006,10,,NE,0.6,10.8,46.7
13101010,2020/12/25,12,0,0.006,0.021,0.027,,0.027,,,,0.001,9,,E,0.6,11.5,44.4
13101010,2020/12/25,13,0.001,0.005,0.020,0.025,,0.029,,,,0.001,9,,NE,0.6,12.0,37.3
13101010,2020/12/25,14,0,0.002,0.012,0.014,,0.037,,,,0.006,3,,W,1.0,12.3,37.0
13101010,2020/12/25,15,0,0.002,0.011,0.013,,0.038,,,,0.001,2,,NNW,0.9,12.3,37.1
13101010,2020/12/25,16,0,0.001,0.013,0.014,,0.036,,,,0.004,6,,NNE,0.6,12.5,37.1
13101010,2020/12/25,17,0,0.002,0.013,0.015,,0.034,,,,0,4,,N,0.7,12.0,36.5
13101010,2020/12/25,18,0,0.002,0.015,0.017,,0.031,,,,0.004,3,,NNW,0.6,11.1,35.2
13101010,2020/12/25,19,0,0.001,0.014,0.015,,0.031,,,,0.003,5,,N,0.9,10.5,34.5
13101010,2020/12/25,20,0,0.001,0.014,0.015,,0.031,,,,0.007,5,,NNW,1.1,9.6,34.9
13101010,2020/12/25,21,0,0.001,0.015,0.016,,0.030,,,,0.002,5,,N,0.6,9.2,36.3
13101010,2020/12/25,22,0,0,0.016,0.016,,0.028,,,,0.005,4,,N,1.2,8.8,37.4
13101010,2020/12/25,23,0,0,0.010,0.010,,0.032,,,,0.001,5,,NW,1.0,7.8,42.1
13101010,2020/12/25,24,0,0,0.009,0.009,,0.031,,,,0.005,1,,NW,0.7,6.9,44.6
13101010,2020/12/26,01,0,0,0.011,0.011,,0.028,,,,0,4,,N,1.4,6.0,47.6
13101010,2020/12/26,02,0,0,0.011,0.011,,0.027,,,,0.007,2,,N,0.5,5.9,48.9
13101010,2020/12/26,03,0,0,0.010,0.010,,0.026,,,,0,3,,N,0.5,5.7,48.5
13101010,2020/12/26,04,0,0,0.012,0.012,,0.025,,,,0,3,,NW,0.8,5.6,48.7
13101010,2020/12/26,05,0,0,0.011,0.011,,0.026,,,,0.001,3,,NNW,0.5,5.1,52.0
13101010,2020/12/26,06,0,0,0.013,0.013,,0.023,,,,0,5,,WNW,0.4,5.4,53.3
13101010,2020/12/26,07,0,0.001,0.015,0.016,,0.022,,,,0.001,2,,W,0.6,5.6,51.6
13101010,2020/12/26,08,0,0.003,0.020,0.023,,0.018,,,,0.004,4,,NNE,0.9,5.6,51.9
13101010,2020/12/26,09,0.001,0.010,0.024,0.034,,0.016,,,,0.003,7,,N,0.5,5.7,52.2
13101010,2020/12/26,10,0.001,0.015,0.027,0.042,,0.014,,,,0.005,7,,N,0.3,6.6,49.8
13101010,2020/12/26,11,0.001,0.011,0.022,0.033,,0.020,,,,0.010,5,,NW,0.8,8.7,41.5
13101010,2020/12/26,12,0,0.006,0.017,0.023,,0.025,,,,0,5,,N,0.4,9.4,36.4
13101010,2020/12/26,13,0,0.004,0.015,0.019,,0.028,,,,0.009,4,,NNW,0.3,10.2,33.4
13101010,2020/12/26,14,0,0.004,0.019,0.023,,0.025,,,,0.002,7,,CALM,0.2,10.5,33.3
13101010,2020/12/26,15,0,0.004,0.025,0.029,,0.021,,,,0.009,8,,CALM,0.1,11.2,33.6
13101010,2020/12/26,16,0.001,0.004,0.031,0.035,,0.016,,,,0.003,8,,CALM,0,10.8,37.2
13101010,2020/12/26,17,0.001,0.003,0.040,0.043,,0.009,,,,0.020,15,,CALM,0,10.8,39.6
13101010,2020/12/26,18,0.001,0.004,0.042,0.046,,0.006,,,,0.018,17,,CALM,0,10.5,40.9
13101010,2020/12/26,19,0.001,0.010,0.051,0.061,,0.001,,,,0.024,28,,CALM,0,10.5,42.4
13101010,2020/12/26,20,0.002,0.015,0.051,0.066,,0.001,,,,0.027,22,,CALM,0.1,10.7,42.9
13101010,2020/12/26,21,0.002,0.017,0.052,0.069,,0.001,,,,0.027,21,,CALM,0.1,10.5,44.1
13101010,2020/12/26,22,0.002,0.022,0.053,0.075,,0.001,,,,0.016,22,,WNW,0.5,9.0,46.1
13101010,2020/12/26,23,0.001,0.015,0.048,0.063,,0.001,,,,0.011,18,,CALM,0.2,8.2,47.2
13101010,2020/12/26,24,0.001,0.005,0.036,0.041,,0.004,,,,0.017,14,,W,0.9,7.5,48.9
13101010,2020/12/27,01,0.001,0.001,0.021,0.022,,0.014,,,,0.005,13,,W,0.9,6.8,51.7
13101010,2020/12/27,02,0.001,0.001,0.014,0.015,,0.019,,,,0.012,9,,NNE,0.3,6.8,52.8
13101010,2020/12/27,03,0,0.001,0.017,0.018,,0.016,,,,0.008,9,,N,0.4,6.4,52.7
13101010,2020/12/27,04,0.001,0,0.014,0.014,,0.017,,,,0.011,10,,NNE,0.5,6.0,53.7
13101010,2020/12/27,05,0,0,0.017,0.017,,0.013,,,,0.009,15,,NNW,0.6,5.3,57.6
13101010,2020/12/27,06,0,0.002,0.020,0.022,,0.009,,,,0.003,10,,CALM,0.2,5.5,55.4
13101010,2020/12/27,07,0,0.003,0.017,0.020,,0.012,,,,0.005,7,,N,0.5,5.3,55.7
13101010,2020/12/27,08,0.001,0.003,0.014,0.017,,0.015,,,,0.006,8,,N,0.5,5.7,54.6
13101010,2020/12/27,09,0,0.005,0.013,0.018,,0.019,,,,0.008,9,,NNW,0.6,6.6,53.2
13101010,2020/12/27,10,0.001,0.004,0.013,0.017,,0.021,,,,0.008,8,,NNE,0.5,6.9,50.3
13101010,2020/12/27,11,0.001,0.005,0.015,0.020,,0.021,,,,0.004,13,,NNE,0.8,7.9,48.9
13101010,2020/12/27,12,0.001,0.005,0.014,0.019,,0.026,,,,0.008,9,,NNW,0.3,9.5,43.9
13101010,2020/12/27,13,0,0.003,0.011,0.014,,0.031,,,,0.006,6,,CALM,0.1,10.8,36.8
13101010,2020/12/27,14,0,0.002,0.010,0.012,,0.034,,,,0.004,6,,CALM,0.2,11.6,35.7
13101010,2020/12/27,15,0,0.001,0.011,0.012,,0.036,,,,0.005,8,,CALM,0.2,12.2,36.7
13101010,2020/12/27,16,0.001,0.001,0.014,0.015,,0.034,,,,0.015,11,,E,0.5,12.1,46.2
13101010,2020/12/27,17,0.001,0,0.016,0.016,,0.032,,,,0.002,9,,CALM,0.2,11.9,45.4
13101010,2020/12/27,18,0.002,0.001,0.017,0.018,,0.023,,,,0,15,,CALM,0.2,10.8,66.7
13101010,2020/12/27,19,0.002,0.001,0.015,0.016,,0.024,,,,0.009,10,,E,0.6,10.1,68.3
13101010,2020/12/27,20,0.001,0.001,0.012,0.013,,0.025,,,,0.002,10,,CALM,0.2,9.3,69.4
13101010,2020/12/27,21,0,0.001,0.013,0.014,,0.024,,,,0.011,8,,E,0.3,9.3,68.5
13101010,2020/12/27,22,0,0,0.011,0.011,,0.026,,,,0.012,9,,N,0.3,8.8,69.5
13101010,2020/12/27,23,0,0.001,0.014,0.015,,0.023,,,,0.006,8,,NW,0.9,8.3,72.0
13101010,2020/12/27,24,0,0.001,0.017,0.018,,0.018,,,,0.009,9,,N,0.4,8.0,73.3
13101010,2020/12/28,01,0,0,0.016,0.016,,0.018,,,,0.006,7,,NW,1.1,7.7,73.5
13101010,2020/12/28,02,0,0.001,0.011,0.012,,0.022,,,,0.010,8,,NNE,0.3,7.9,70.7
13101010,2020/12/28,03,0.001,0,0.012,0.012,,0.020,,,,0.008,11,,N,0.6,8.0,70.7
13101010,2020/12/28,04,0.001,0,0.014,0.014,,0.017,,,,0.006,14,,NNW,0.5,7.8,68.6
13101010,2020/12/28,05,0.001,0.001,0.018,0.019,,0.013,,,,0.011,17,,NW,0.8,7.6,65.8
13101010,2020/12/28,06,0.001,0.001,0.017,0.018,,0.015,,,,0.016,15,,WNW,1.0,7.6,64.0
13101010,2020/12/28,07,0,0.001,0.016,0.017,,0.015,,,,0.015,16,,WNW,0.5,7.8,63.1
13101010,2020/12/28,08,0.001,0.003,0.021,0.024,,0.012,,,,0.020,14,,WNW,0.5,8.1,64.1
13101010,2020/12/28,09,0.001,0.006,0.025,0.031,,0.010,,,,0.013,17,,NW,0.3,8.6,63.6
13101010,2020/12/28,10,0.001,0.009,0.025,0.034,,0.013,,,,0.016,16,,NNW,0.3,9.2,63.6
13101010,2020/12/28,11,0.001,0.013,0.030,0.043,,0.011,,,,0.016,18,,NNW,0.3,10.4,63.2
13101010,2020/12/28,12,0.001,0.012,0.031,0.043,,0.012,,,,0.022,20,,NNW,0.7,9.9,61.8
13101010,2020/12/28,13,0.001,0.007,0.023,0.030,,0.021,,,,0.020,21,,NW,0.4,11.0,62.3
13101010,2020/12/28,14,0.001,0.004,0.018,0.022,,0.029,,,,0.022,15,,CALM,0.1,12.5,53.5
13101010,2020/12/28,15,0.001,0.010,0.038,0.048,,0.013,,,,0.023,21,,CALM,0.2,13.1,55.4
13101010,2020/12/28,16,0.002,0.027,0.050,0.077,,0.004,,,,0.029,28,,CALM,0.2,12.0,63.6
13101010,2020/12/28,17,0.002,0.032,0.058,0.090,,0.001,,,,0.030,29,,CALM,0,11.5,67.3
13101010,2020/12/28,18,0.002,0.032,0.067,0.099,,0.001,,,,0.032,34,,ENE,0.3,11.2,70.4
13101010,2020/12/28,19,0.002,0.033,0.067,0.100,,0.001,,,,0.044,38,,CALM,0,11.1,72.4
13101010,2020/12/28,20,0.002,0.036,0.070,0.106,,0.001,,,,0.055,45,,CALM,0.1,11.7,72.1
13101010,2020/12/28,21,0.002,0.049,0.072,0.121,,0.002,,,,0.042,49,,CALM,0.1,11.4,69.0
13101010,2020/12/28,22,0.002,0.049,0.068,0.117,,0.001,,,,0.054,45,,CALM,0.1,10.8,67.7
13101010,2020/12/28,23,0.001,0.025,0.059,0.084,,0.001,,,,0.027,29,,CALM,0.2,10.3,59.9
13101010,2020/12/28,24,0.001,0.002,0.037,0.039,,0.008,,,,0.013,15,,CALM,0.1,10.2,55.8
13101010,2020/12/29,01,0.001,0.002,0.036,0.038,,,,,,0.014,15,,CALM,0.1,10.1,58.5
13101010,2020/12/29,02,0.001,0.006,0.044,0.050,,0.002,,,,0.011,15,,CALM,0.1,9.9,58.3
13101010,2020/12/29,03,0,0.002,0.030,0.032,,0.013,,,,0.005,10,,WSW,0.9,9.5,56.3
13101010,2020/12/29,04,0,0.001,0.018,0.019,,0.022,,,,0.002,5,,CALM,0.2,9.5,54.8
13101010,2020/12/29,05,0,0.001,0.016,0.017,,0.024,,,,0.007,5,,N,0.3,9.0,55.1
13101010,2020/12/29,06,0,0.001,0.019,0.020,,0.019,,,,0.006,7,,CALM,0,8.1,59.6
13101010,2020/12/29,07,0,0.002,0.028,0.030,,0.012,,,,0.012,7,,NW,0.3,8.9,58.5
13101010,2020/12/29,08,0,0.009,0.034,0.043,,0.008,,,,0.007,7,,W,0.4,8.8,60.2
13101010,2020/12/29,09,0.001,0.017,0.036,0.053,,0.007,,,,0.012,11,,E,0.8,10.3,55.7
13101010,2020/12/29,10,0.002,0.021,0.040,0.061,,0.009,,,,0.018,18,,ENE,0.3,11.9,56.4
13101010,2020/12/29,11,0.002,0.022,0.045,0.067,,0.008,,,,0.023,20,,NNW,0.3,12.3,57.1
13101010,2020/12/29,12,0.002,0.016,0.039,0.055,,0.012,,,,0.028,24,,NNE,0.5,10.8,57.0
13101010,2020/12/29,13,0.001,0.009,0.029,0.038,,0.018,,,,0.026,34,,NNW,0.6,11.1,57.7
13101010,2020/12/29,14,0.001,0.006,0.029,0.035,,0.020,,,,0.028,27,,CALM,0.2,12.0,53.5
13101010,2020/12/29,15,0.001,0.005,0.027,0.032,,0.022,,,,0.023,27,,CALM,0.2,12.2,52.2
13101010,2020/12/29,16,0.001,0.003,0.026,0.029,,0.021,,,,0.031,27,,E,0.3,12.2,53.5
13101010,2020/12/29,17,0.002,0.001,0.028,0.029,,0.017,,,,0.019,27,,CALM,0.1,11.9,55.8
13101010,2020/12/29,18,0.001,0.001,0.030,0.031,,0.015,,,,0.029,29,,NW,0.3,11.5,56.1
13101010,2020/12/29,19,0.001,0.001,0.026,0.027,,0.017,,,,0.044,31,,CALM,0.2,11.3,59.4
13101010,2020/12/29,20,0.001,0.001,0.028,0.029,,0.013,,,,0.039,38,,CALM,0,11.4,60.5
13101010,2020/12/29,21,0.001,0.002,0.037,0.039,,0.006,,,,0.035,40,,WNW,0.6,11.2,61.1
13101010,2020/12/29,22,0.001,0.007,0.045,0.052,,0.002,,,,0.040,41,,NNW,0.5,11.7,64.7
13101010,2020/12/29,23,0.001,0.016,0.049,0.065,,0.001,,,,0.039,39,,CALM,0.2,10.8,64.7
13101010,2020/12/29,24,0.001,0.016,0.047,0.063,,0.002,,,,0.031,35,,N,1.3,9.4,63.3
13101010,2020/12/30,01,0.001,0.006,0.042,0.048,,0.001,,,,0.037,42,,CALM,0.2,8.9,66.0
13101010,2020/12/30,02,0.001,0.004,0.038,0.042,,0.003,,,,0.033,33,,W,0.6,8.9,64.8
13101010,2020/12/30,03,0.001,0.001,0.029,0.030,,0.009,,,,0.030,30,,CALM,0.1,8.4,63.1
13101010,2020/12/30,04,0.001,0.001,0.028,0.029,,0.009,,,,0.024,28,,N,0.4,9.5,62.5
13101010,2020/12/30,05,0.001,0.002,0.031,0.033,,0.005,,,,0.028,28,,NNE,0.6,8.2,66.0
13101010,2020/12/30,06,0.001,0.002,0.028,0.030,,0.005,,,,0.030,28,,NNW,0.4,8.1,66.1
13101010,2020/12/30,07,0.001,0.006,0.032,0.038,,0.001,,,,0.024,26,,NNW,0.5,7.5,68.4
13101010,2020/12/30,08,0.001,0.008,0.029,0.037,,0.003,,,,0.017,27,,NNE,0.3,7.2,69.7
13101010,2020/12/30,09,0,0.008,0.028,0.036,,0.004,,,,0.014,33,,NNE,0.5,6.6,79.5
13101010,2020/12/30,10,0,0.011,0.027,0.038,,0.004,,,,0.024,34,,NW,1.1,5.9,86.6
13101010,2020/12/30,11,0,0.006,0.021,0.027,,0.010,,,,0.026,26,,WNW,1.1,7.0,77.5
13101010,2020/12/30,12,0.001,0.004,0.017,0.021,,0.017,,,,0.031,26,,NNE,0.5,9.2,70.0
13101010,2020/12/30,13,0.001,0.003,0.014,0.017,,0.027,,,,0.023,22,,NNW,0.5,10.8,61.8
13101010,2020/12/30,14,0.001,0.003,0.016,0.019,,0.027,,,,0.027,22,,ENE,0.4,11.8,61.5
13101010,2020/12/30,15,0.001,0.003,0.018,0.021,,0.024,,,,0.033,32,,CALM,0.1,10.8,69.6
13101010,2020/12/30,16,0,0.002,0.020,0.022,,0.020,,,,0.045,38,,E,0.3,11.1,78.9
13101010,2020/12/30,17,0,0.001,0.016,0.017,,0.020,,,,0.020,25,,E,0.3,10.6,83.0
13101010,2020/12/30,18,0,0,0.013,0.013,,0.023,,,,0.018,10,,NW,2.1,8.5,54.0
13101010,2020/12/30,19,0,0,0.006,0.006,,0.032,,,,0.012,2,,NW,3.7,6.6,39.9
13101010,2020/12/30,20,0,0,0.005,0.005,,0.032,,,,0.009,4,,WNW,3.7,5.6,36.3
13101010,2020/12/30,21,0,0,0.005,0.005,,0.033,,,,0,2,,NW,3.2,5.3,36.4
13101010,2020/12/30,22,0,0,0.005,0.005,,0.033,,,,0.001,3,,NNW,2.3,4.7,35.9
13101010,2020/12/30,23,0,0,0.005,0.005,,0.033,,,,0.004,1,,NW,2.6,4.2,38.4
13101010,2020/12/30,24,0,0,0.004,0.004,,0.033,,,,0,2,,NNW,2.0,3.8,39.6
13101010,2020/12/31,01,,,,,,0.033,,,,0,0,,NW,2.7,3.7,37.7
13101010,2020/12/31,02,0.001,0,0.004,0.004,,0.033,,,,0,0,,NW,3.0,3.2,38.4
13101010,2020/12/31,03,0,0,0.004,0.004,,0.033,,,,0,0,,NW,2.4,3.0,38.0
13101010,2020/12/31,04,0,0,0.004,0.004,,0.033,,,,0,0,,NW,2.2,2.5,41.2
13101010,2020/12/31,05,0,0,0.005,0.005,,0.031,,,,0,1,,NNW,0.6,2.6,43.1
13101010,2020/12/31,06,0,0,0.006,0.006,,0.030,,,,0,3,,NW,1.2,2.4,38.6
13101010,2020/12/31,07,0,0,0.005,0.005,,0.032,,,,0.001,1,,NW,1.5,2.4,31.5
13101010,2020/12/31,08,0,0,0.005,0.005,,0.032,,,,0,1,,WNW,1.4,2.7,30.5
13101010,2020/12/31,09,0,0.001,0.005,0.006,,0.033,,,,0.007,0,,NW,2.0,3.4,28.2
13101010,2020/12/31,10,0,0.001,0.004,0.005,,0.033,,,,0,2,,NNE,0.9,4.1,27.3
13101010,2020/12/31,11,0,0.001,0.003,0.004,,0.034,,,,0,1,,NNW,1.2,4.7,25.8
13101010,2020/12/31,12,0,0.001,0.003,0.004,,0.035,,,,0,2,,WNW,1.5,5.0,24.2
13101010,2020/12/31,13,0,0.001,0.003,0.004,,0.036,,,,0,0,,NW,1.1,5.6,23.8
13101010,2020/12/31,14,0,0.001,0.003,0.004,,0.036,,,,0.005,-1,,WNW,0.7,6.0,22.6
13101010,2020/12/31,15,0,0.001,0.004,0.005,,0.035,,,,0,2,,N,0.3,6.6,24.3
13101010,2020/12/31,16,0,0.001,0.007,0.008,,0.033,,,,0.005,3,,CALM,0.1,6.5,23.8
13101010,2020/12/31,17,0,0,0.007,0.007,,0.033,,,,0.005,4,,NNW,1.2,5.7,24.5
13101010,2020/12/31,18,0,0,0.006,0.006,,0.031,,,,0.002,2,,N,1.1,5.4,25.6
13101010,2020/12/31,19,0,0.001,0.009,0.010,,0.029,,,,0,4,,N,1.0,5.2,26.6
13101010,2020/12/31,20,0,0,0.009,0.009,,0.029,,,,0,3,,N,0.6,5.0,27.1
13101010,2020/12/31,21,0,0,0.009,0.009,,0.028,,,,0.003,4,,CALM,0.2,4.8,29.0
13101010,2020/12/31,22,0,0,0.009,0.009,,0.028,,,,0.003,3,,WNW,0.7,4.1,30.6
13101010,2020/12/31,23,0,0.001,0.008,0.009,,0.029,,,,0.002,3,,NW,0.3,4.0,31.9
13101010,2020/12/31,24,0.001,0,0.011,0.011,,0.026,,,,0,4,,NW,0.4,4.0,33.3
